acc,bearing,speed,azimuth,lon,mag,time,lat,sensor,accuracy
"[-0.91929626, 2.1446838, 9.348099]",0,0,0,2.6656193,null,2014-08-08 08:17:32 +0200,41.6149139,network,1267
"[-0.30889893, 2.4689178, 9.262665]",3.700000047683716,0.25,241.628662109375,2.66566931,"[12.609863, -14.334106, -28.990173]",2014-08-08 08:17:38 +0200,41.61433097,gps,14
"[-0.16436768, 2.5495148, 9.155792]",0,0,234.97259521484375,2.66562499,"[9.906006, -15.509033, -31.108093]",2014-08-08 08:17:44 +0200,41.6144091,gps,5
"[-0.48963928, 2.6878357, 9.716217]",0,0,233.1414337158203,2.66561411,"[11.016846, -15.98053, -30.700684]",2014-08-08 08:17:49 +0200,41.61440602,gps,6
"[-0.73124695, 4.3367157, 8.593262]",0,0,206.04299926757812,2.6656193,"[5.6121826, -23.110962, -32.79724]",2014-08-08 08:17:52 +0200,41.6149139,network,1267
"[0.10420227, 4.1460876, 8.5950165]",0,0,217.60951232910156,2.66561195,"[3.5232544, -22.54486, -34.991455]",2014-08-08 08:17:54 +0200,41.61439991,gps,4
"[0.07763672, 4.104904, 8.614944]",0,0,223.30935668945312,2.66561172,"[5.2612305, -22.970581, -34.516907]",2014-08-08 08:17:59 +0200,41.61439977,gps,4
"[0.11779785, 4.1240997, 8.623825]",0,0,239.0012969970703,2.66561269,"[7.473755, -22.055054, -35.151672]",2014-08-08 08:18:04 +0200,41.61440204,gps,4
"[0.03337097, 4.1521454, 8.606277]",0,0,234.54251098632812,2.66561356,"[8.509827, -23.457336, -34.487915]",2014-08-08 08:18:09 +0200,41.61440321,gps,4
"[0.035705566, 4.128525, 8.5327]",0,0,222.822509765625,2.6656193,"[5.755615, -23.747253, -34.487915]",2014-08-08 08:18:12 +0200,41.6149139,network,1267
"[0.0035552979, 4.137863, 8.605209]",0,0,243.18026733398438,2.665614,"[11.021423, -22.483826, -33.888245]",2014-08-08 08:18:14 +0200,41.61440362,gps,4
"[0.07270813, 4.1824493, 8.569733]",0,0,247.5217742919922,2.66561407,"[10.688782, -21.559143, -33.91266]",2014-08-08 08:18:19 +0200,41.61440289,gps,4
"[-5.493164E-4, 4.000122, 8.433151]",0,0,245.57388305664062,2.66561354,"[13.652039, -23.060608, -34.150696]",2014-08-08 08:18:24 +0200,41.61440102,gps,4
"[-0.30355835, 4.049286, 8.657806]",0,0,244.31558227539062,2.66561343,"[16.505432, -24.093628, -33.5907]",2014-08-08 08:18:29 +0200,41.61440039,gps,5
"[-0.32574463, 4.060562, 8.624252]",0,0,247.389404296875,2.6656193,"[15.904236, -22.99347, -34.002686]",2014-08-08 08:18:32 +0200,41.6149139,network,1267
"[-0.32832336, 4.0705566, 8.633636]",0,0,240.01666259765625,2.66561348,"[14.051819, -24.017334, -33.164978]",2014-08-08 08:18:34 +0200,41.61439976,gps,6
"[-0.2977295, 4.1384583, 8.439133]",0,0,248.04776000976562,2.66561335,"[12.62207, -21.972656, -33.953857]",2014-08-08 08:18:39 +0200,41.61439913,gps,6
"[-0.29733276, 4.030533, 8.6081085]",0,0,233.69912719726562,2.66561332,"[9.712219, -22.836304, -33.677673]",2014-08-08 08:18:44 +0200,41.61439853,gps,12
"[-0.2715454, 4.0638885, 8.59111]",0,0,230.6027069091797,2.66561351,"[8.505249, -22.613525, -33.26111]",2014-08-08 08:18:49 +0200,41.61439783,gps,12
"[-0.25891113, 3.9945374, 8.6297455]",0,0,241.31649780273438,2.6656193,"[10.629272, -21.653748, -33.98285]",2014-08-08 08:18:52 +0200,41.6149139,network,1267
"[-0.27949524, 4.020355, 8.629578]",0,0,241.43045043945312,2.66561384,"[12.62207, -23.747253, -35.832214]",2014-08-08 08:18:54 +0200,41.61439728,gps,11
"[-0.33192444, 4.0100403, 8.623856]",0,0,247.90869140625,2.66561396,"[15.368652, -22.717285, -34.82361]",2014-08-08 08:18:59 +0200,41.61439704,gps,11
"[-0.31822205, 4.039627, 8.660751]",0,0,251.38558959960938,2.66561437,"[17.98706, -22.198486, -33.641052]",2014-08-08 08:19:04 +0200,41.61439737,gps,10
"[-0.26618958, 4.065735, 8.600403]",0,0,247.85086059570312,2.66561491,"[18.759155, -23.318481, -31.858826]",2014-08-08 08:19:09 +0200,41.61439739,gps,10
"[-0.32229614, 3.9959412, 8.621841]",0,0,249.97511291503906,2.6656193,"[17.681885, -22.142029, -32.913208]",2014-08-08 08:19:12 +0200,41.6149139,network,1267
"[-0.3558197, 3.9825287, 8.68428]",0,0,254.6336669921875,2.66561559,"[19.92035, -21.633911, -34.220886]",2014-08-08 08:19:14 +0200,41.61439756,gps,10
"[-0.2808075, 4.2805786, 8.535736]",0,0,249.79617309570312,2.66561632,"[16.410828, -23.391724, -33.584595]",2014-08-08 08:19:19 +0200,41.61439774,gps,9
"[-0.30770874, 4.23053, 8.467239]",0,0,248.39759826660156,2.66561681,"[14.854431, -23.57483, -34.65576]",2014-08-08 08:19:24 +0200,41.61439755,gps,9
"[-0.32147217, 4.3324585, 8.413773]",0,0,252.41571044921875,2.6656171,"[16.571045, -23.57483, -34.65576]",2014-08-08 08:19:29 +0200,41.61439733,gps,10
"[0.019165039, 4.3481903, 8.267227]",0,0,246.3115997314453,2.6656193,"[11.764526, -24.261475, -34.991455]",2014-08-08 08:19:32 +0200,41.6149139,network,1267
"[0.0541687, 4.2844696, 8.435928]",0,0,243.05270385742188,2.66561715,"[12.353516, -24.7406, -34.6756]",2014-08-08 08:19:34 +0200,41.61439741,gps,10
"[-0.22402954, 4.0698395, 8.592987]",0,0,252.72418212890625,2.66561725,"[18.287659, -21.514893, -32.30133]",2014-08-08 08:19:39 +0200,41.61439763,gps,9
