acc,bearing,speed,azimuth,lon,mag,time,lat,sensor,accuracy
"[0.68040466, 3.520935, 8.727539]",0,0,43.8598747253418,2.1083634,"[-14.370728, 12.19635, -7.0144653]",2014-08-08 06:47:06 +0200,41.3589159,network,1224
"[1.030304, 2.2808685, 9.217361]",0,0,57.095314025878906,2.1083634,"[-25.526428, 12.185669, -12.626648]",2014-08-08 06:47:25 +0200,41.3589159,network,1224
"[-0.35494995, 0.4985199, 9.6462555]",0,0,50.70652389526367,2.1083634,"[-23.243713, 18.759155, -14.794922]",2014-08-08 06:47:45 +0200,41.3589159,network,1224
"[-0.24240112, 0.4021454, 9.559967]",0,0,48.0067138671875,2.1083634,"[-21.440125, 18.896484, -22.782898]",2014-08-08 06:48:05 +0200,41.3589159,network,1224
"[0.48649597, 0.58576965, 9.610764]",0,0,38.85369873046875,2.1120517,"[-8.679199, 7.6782227, -24.867249]",2014-08-08 06:48:26 +0200,41.3590493,network,1224
"[0.56307983, 0.35212708, 9.781082]",0,0,60.31330871582031,2.1120517,"[-34.0744, 17.404175, -28.121948]",2014-08-08 06:48:46 +0200,41.3590493,network,1224
"[0.22846985, 0.39846802, 9.638382]",0,0,58.45833206176758,2.1157402,"[-53.131104, 31.018066, -27.928162]",2014-08-08 06:49:07 +0200,41.3591828,network,1519
"[0.20448303, 0.43792725, 9.75116]",0,0,36.933895111083984,2.1157402,"[-11.930847, 15.077209, -10.917664]",2014-08-08 06:49:31 +0200,41.3591828,network,1519
"[0.2055664, 0.9845276, 9.625458]",0,0,57.422760009765625,2.1157402,"[-30.584717, 15.45105, -35.551453]",2014-08-08 06:49:51 +0200,41.3591828,network,1519
"[0.28811646, 0.038726807, 9.219254]",0,0,84.5277099609375,2.1115032,"[-55.7724, 5.204773, -17.860413]",2014-08-08 06:51:18 +0200,41.3675943,network,1780
"[0.1615448, 0.0076293945, 9.6102295]",0,0,66.68777465820312,2.1115032,"[-24.88556, 10.507202, -26.712036]",2014-08-08 06:51:36 +0200,41.3675943,network,1780
"[-0.21044922, 0.197052, 9.539276]",0,0,63.653621673583984,2.1115032,"[-33.673096, 16.275024, -42.793274]",2014-08-08 06:51:56 +0200,41.3675943,network,1780
"[-0.5441284, 0.019226074, 9.578934]",0,0,68.8172607421875,2.1115032,"[-51.130676, 19.955444, -8.355713]",2014-08-08 06:52:14 +0200,41.3675943,network,1780
"[-0.21679688, 0.65908813, 9.640106]",0,0,68.33228302001953,2.1115032,"[-39.282227, 14.764404, -15.74707]",2014-08-08 06:52:54 +0200,41.3675943,network,1780
"[-0.5322113, 0.84010315, 9.440338]",0,0,328.79345703125,2.1413154,"[3.1799316, 5.6106567, 2.005005]",2014-08-08 06:53:15 +0200,41.3807664,network,3461
"[-0.38763428, 0.3957672, 9.579437]",0,0,68.39212036132812,2.1413154,"[-59.654236, 22.77832, -37.683105]",2014-08-08 06:53:36 +0200,41.3807664,network,3461
"[-0.2940979, 1.0871887, 9.516235]",0,0,67.35897827148438,2.1487684,"[-43.38379, 13.925171, -43.80951]",2014-08-08 06:54:01 +0200,41.3840594,network,3605
"[-0.05014038, 0.08621216, 9.596924]",0,0,32.04548263549805,2.1363467,"[-4.246521, 6.768799, -24.27063]",2014-08-08 06:54:27 +0200,41.378571,network,3205
"[0.46928406, 0.34176636, 9.587845]",0,0,293.4948425292969,2.1115032,"[1.5151978, 0.27160645, -27.233887]",2014-08-08 06:54:47 +0200,41.3675943,network,1780
"[0.13806152, 0.07106018, 9.6601715]",0,0,47.96723937988281,2.1115032,"[-16.220093, 14.022827, -29.441833]",2014-08-08 06:55:08 +0200,41.3675943,network,1780
"[0.17164612, 0.67689514, 9.597809]",0,0,343.5262451171875,2.1115032,"[2.1499634, 6.9839478, -30.955505]",2014-08-08 06:55:28 +0200,41.3675943,network,1780
"[-0.08911133, 0.53697205, 9.571381]",0,0,54.54145812988281,2.1115032,"[-26.802063, 17.643738, -30.085754]",2014-08-08 06:55:48 +0200,41.3675943,network,1780
"[0.4320221, 0.70047, 9.413208]",0,0,50.551612854003906,2.1115032,"[-24.357605, 17.074585, -26.039124]",2014-08-08 06:56:14 +0200,41.3675943,network,1780
"[0.20217896, 0.2823639, 9.589951]",0,0,325.580078125,2.1115032,"[3.1402588, 4.6173096, -23.518372]",2014-08-08 06:56:34 +0200,41.3675943,network,1780
"[0.4803772, -0.016983032, 9.629684]",0,0,25.234704971313477,2.1115032,"[-11.070251, 20.889282, -24.732971]",2014-08-08 06:56:54 +0200,41.3675943,network,1780
"[-0.09611511, 0.8973999, 9.6462555]",0,0,359.6947937011719,2.1770071,"[-0.032043457, 21.118164, 13.775635]",2014-08-08 06:57:11 +0200,41.4053829,network,4592
"[0.169281, 0.35603333, 9.713226]",0,0,327.161376953125,2.1606311,"[9.498596, 14.299011, -44.859314]",2014-08-08 06:57:31 +0200,41.3959357,network,5166
"[-0.1149292, 0.4813385, 9.637039]",0,0,328.2344970703125,2.2097591,"[10.284424, 14.659119, -28.367615]",2014-08-08 06:57:51 +0200,41.4242772,network,1808
"[-0.333313, 0.5229187, 9.6870575]",0,0,348.7500305175781,2.2097591,"[4.382324, 15.739441, -27.760315]",2014-08-08 06:58:11 +0200,41.4242772,network,1808
"[-0.6764984, 0.46414185, 9.183853]",0,0,23.67350959777832,2.2063932,"[-4.005432, 13.319397, -35.585022]",2014-08-08 06:58:32 +0200,41.4246243,network,1808
"[-0.50823975, 0.3540039, 9.748703]",0,0,15.15758991241455,2.2030274,"[-2.3132324, 12.477112, -25.238037]",2014-08-08 06:58:51 +0200,41.4249713,network,1855
"[0.013916016, 0.59033203, 9.757416]",0,0,353.02630615234375,2.1883768,"[1.6143799, 11.981201, -25.424194]",2014-08-08 06:59:12 +0200,41.4066902,network,33
"[-0.3287506, -0.011779785, 9.687164]",0,0,40.470096588134766,2.1883759,"[-12.957764, 16.253662, -26.246643]",2014-08-08 06:59:31 +0200,41.4066885,network,40.5
"[-0.6230774, 0.5922394, 9.603653]",0,0,22.896331787109375,2.1883755,"[-4.9957275, 14.259338, -26.18103]",2014-08-08 06:59:51 +0200,41.4066885,network,40.5
"[0.10282898, 0.40950012, 9.389038]",0,0,328.2650451660156,2.1883755,"[7.1289063, 11.274719, -10.272217]",2014-08-08 07:00:11 +0200,41.4066885,network,40.5
"[-0.47558594, 0.60943604, 9.639374]",0,0,272.95391845703125,2.1883755,"[42.453003, 0.6713867, -21.165466]",2014-08-08 07:00:31 +0200,41.4066885,network,40.5
"[0.20960999, 0.34706116, 9.484558]",0,0,302.9552001953125,2.1883755,"[21.377563, 13.163757, -32.30133]",2014-08-08 07:00:51 +0200,41.4066885,network,40.5
"[0.17732239, -0.072052, 9.483139]",4.599999904632568,14.508618354797363,285.66534423828125,2.19269496,"[37.687683, 10.9313965, -28.76892]",2014-08-08 07:01:06 +0200,41.41748381,gps,13
"[0.5940399, -0.4393921, 9.835678]",4,14.258769035339355,316.026123046875,2.19279786,"[15.70282, 19.515991, -30.787659]",2014-08-08 07:01:11 +0200,41.41815074,gps,5
"[1.1847687, -0.35794067, 9.535919]",0,0,358.78778076171875,2.1952181,"[-3.0014038, 21.061707, -27.592468]",2014-08-08 07:01:14 +0200,41.4181591,network,40.5
"[0.8330078, -0.2959442, 9.826645]",6.5,14.508618354797363,12.823041915893555,2.19287181,"[-7.635498, 22.605896, -31.796265]",2014-08-08 07:01:16 +0200,41.41880307,gps,4
"[0.91130066, -0.04197693, 9.580536]",6.400000095367432,15.508062362670898,33.04314041137695,2.19295642,"[-26.521301, 38.056946, -18.006897]",2014-08-08 07:01:21 +0200,41.41947474,gps,4
"[0.91130066, -0.04197693, 9.580536]",13.199999809265137,17.00735092163086,33.04314041137695,2.19312092,"[-26.521301, 38.056946, -18.006897]",2014-08-08 07:01:26 +0200,41.42020909,gps,3
