Mag3,Mag2,Mag1,time,Acc1,Acc3,Acc2
-7.38067626953125,14.4073486328125,-16.949462890625,2014-08-08 06:47:05 +0200,0.448394775390625,8.664718627929688,3.4571685791015625
-6.20880126953125,12.01324462890625,-14.00146484375,2014-08-08 06:47:06 +0200,0.7599945068359375,8.904769897460938,3.8049163818359375
-5.8074951171875,11.962890625,-12.36114501953125,2014-08-08 06:47:07 +0200,0.555633544921875,8.853057861328125,3.854827880859375
-6.92138671875,12.69378662109375,-12.518310546875,2014-08-08 06:47:08 +0200,0.521636962890625,8.870391845703125,3.6504364013671875
-7.58056640625,12.30621337890625,-14.8468017578125,2014-08-08 06:47:09 +0200,1.43060302734375,9.615280151367188,2.72802734375
-8.758544921875,12.1337890625,-16.3909912109375,2014-08-08 06:47:10 +0200,1.1470794677734375,8.968124389648438,3.06170654296875
-9.93499755859375,13.67950439453125,-20.3399658203125,2014-08-08 06:47:11 +0200,1.035430908203125,9.090087890625,3.178985595703125
-12.62664794921875,11.962890625,-21.026611328125,2014-08-08 06:47:12 +0200,0.6761932373046875,9.09173583984375,3.27020263671875
-12.12158203125,13.507080078125,-18.45245361328125,2014-08-08 06:47:13 +0200,0.478912353515625,8.888168334960938,3.14300537109375
-15.14892578125,13.507080078125,-19.82574462890625,2014-08-08 06:47:14 +0200,0.4256591796875,9.09991455078125,2.6213531494140625
-14.30511474609375,14.013671875,-20.68328857421875,2014-08-08 06:47:15 +0200,0.8236846923828125,9.399169921875,2.2923736572265625
-12.823486328125,10.04486083984375,-15.9027099609375,2014-08-08 06:47:16 +0200,1.2939910888671875,9.480712890625,2.5846099853515625
-14.98260498046875,10.8154296875,-15.7623291015625,2014-08-08 06:47:17 +0200,0.885040283203125,9.35687255859375,2.2763519287109375
-14.4683837890625,9.03167724609375,-17.4285888671875,2014-08-08 06:47:18 +0200,0.6737213134765625,9.297088623046875,2.2670440673828125
-14.306640625,8.52813720703125,-17.1356201171875,2014-08-08 06:47:19 +0200,0.708709716796875,9.226394653320312,2.8625640869140625
-13.0706787109375,6.85577392578125,-17.25006103515625,2014-08-08 06:47:20 +0200,1.3384857177734375,9.02691650390625,2.371917724609375
-12.63427734375,9.21630859375,-19.65789794921875,2014-08-08 06:47:21 +0200,0.959716796875,9.261123657226562,2.59295654296875
-12.1490478515625,8.502197265625,-20.59326171875,2014-08-08 06:47:22 +0200,1.0241851806640625,9.328659057617188,2.4186553955078125
-12.05902099609375,11.94305419921875,-22.72491455078125,2014-08-08 06:47:23 +0200,1.0557861328125,9.177505493164062,2.2704620361328125
-12.62664794921875,12.1856689453125,-25.52642822265625,2014-08-08 06:47:24 +0200,1.0766448974609375,9.338546752929688,2.2742767333984375
-11.907958984375,12.2894287109375,-25.78887939453125,2014-08-08 06:47:25 +0200,1.08587646484375,9.240020751953125,2.2901153564453125
-13.5711669921875,16.3604736328125,-27.89459228515625,2014-08-08 06:47:26 +0200,1.170257568359375,9.268447875976562,2.318359375
-14.64385986328125,17.79937744140625,-27.55126953125,2014-08-08 06:47:27 +0200,0.2244720458984375,10.124725341796875,2.1102142333984375
-14.30816650390625,17.79937744140625,-27.55126953125,2014-08-08 06:47:28 +0200,1.1706085205078125,9.116806030273438,2.447906494140625
-11.78436279296875,17.28363037109375,-26.69219970703125,2014-08-08 06:47:29 +0200,1.29638671875,9.294525146484375,2.4937591552734375
-13.8031005859375,14.53704833984375,-23.94561767578125,2014-08-08 06:47:30 +0200,1.59625244140625,9.146392822265625,2.60455322265625
-12.62664794921875,17.4560546875,-22.74322509765625,2014-08-08 06:47:31 +0200,1.4088592529296875,10.579940795898438,2.599395751953125
-12.12158203125,27.5848388671875,-22.57232666015625,2014-08-08 06:47:32 +0200,0.4550323486328125,9.656173706054688,0.4005126953125
-17.877197265625,20.79925537109375,-22.57232666015625,2014-08-08 06:47:33 +0200,-1.131744384765625,9.5076904296875,0.4641876220703125
-15.8203125,20.03173828125,-19.82574462890625,2014-08-08 06:47:34 +0200,-0.784088134765625,9.64727783203125,0.6839752197265625
-15.14892578125,20.03173828125,-18.7957763671875,2014-08-08 06:47:36 +0200,-0.7290191650390625,9.68316650390625,0.6654052734375
-16.998291015625,18.829345703125,-19.30999755859375,2014-08-08 06:47:37 +0200,-0.468780517578125,9.667999267578125,1.1695556640625
-15.98968505859375,17.4560546875,-17.93670654296875,2014-08-08 06:47:38 +0200,0.0449066162109375,9.524688720703125,1.094635009765625
-15.3167724609375,20.20263671875,-18.62335205078125,2014-08-08 06:47:39 +0200,-0.2302398681640625,9.483062744140625,0.556732177734375
-16.49322509765625,19.68841552734375,-18.109130859375,2014-08-08 06:47:40 +0200,-0.468536376953125,9.578506469726562,0.723541259765625
-15.46783447265625,18.1121826171875,-17.84515380859375,2014-08-08 06:47:41 +0200,-0.4482421875,9.659408569335938,0.56103515625
-14.70947265625,17.38739013671875,-22.05047607421875,2014-08-08 06:47:42 +0200,-0.3778228759765625,9.532974243164062,0.126983642578125
-14.35394287109375,18.2403564453125,-22.9888916015625,2014-08-08 06:47:43 +0200,-0.33050537109375,9.685272216796875,0.3381195068359375
-14.8406982421875,18.6859130859375,-23.07891845703125,2014-08-08 06:47:44 +0200,-0.3476409912109375,9.627914428710938,0.40087890625
-14.794921875,18.7591552734375,-23.24371337890625,2014-08-08 06:47:45 +0200,-0.3213653564453125,9.545791625976562,0.4555206298828125
-13.81072998046875,17.59796142578125,-20.8282470703125,2014-08-08 06:47:46 +0200,-0.1367950439453125,9.493728637695312,0.7613372802734375
-15.14129638671875,19.13299560546875,-20.7611083984375,2014-08-08 06:47:47 +0200,-0.059722900390625,9.603652954101562,0.8744049072265625
-16.04156494140625,16.0186767578125,-17.657470703125,2014-08-08 06:47:48 +0200,-0.1728057861328125,9.706405639648438,0.93829345703125
-14.98260498046875,15.39154052734375,-15.5487060546875,2014-08-08 06:47:49 +0200,-0.1230010986328125,9.526870727539062,0.9894256591796875
-15.59600830078125,16.70989990234375,-14.21661376953125,2014-08-08 06:47:50 +0200,0.083953857421875,9.446304321289062,0.965576171875
-16.998291015625,20.70465087890625,-19.49462890625,2014-08-08 06:47:51 +0200,0.054046630859375,9.624237060546875,0.9807586669921875
-20.5291748046875,23.12164306640625,-21.19903564453125,2014-08-08 06:47:52 +0200,-0.061767578125,9.647537231445312,1.008697509765625
-21.875,22.7783203125,-26.00555419921875,2014-08-08 06:47:53 +0200,-0.039398193359375,9.552947998046875,1.0458221435546875
-23.724365234375,20.8892822265625,-29.26788330078125,2014-08-08 06:47:54 +0200,0.248779296875,9.454666137695312,0.994537353515625
-19.18487548828125,18.658447265625,-24.63226318359375,2014-08-08 06:47:55 +0200,-0.0430755615234375,9.624298095703125,0.9627532958984375
-16.49322509765625,22.7783203125,-25.31890869140625,2014-08-08 06:47:56 +0200,-0.14031982421875,9.70245361328125,1.0379180908203125
-15.3167724609375,21.91925048828125,-34.76104736328125,2014-08-08 06:47:57 +0200,-0.1255035400390625,9.582382202148438,1.06683349609375
-13.08746337890625,26.55487060546875,-28.10821533203125,2014-08-08 06:47:58 +0200,0.17779541015625,9.42718505859375,0.9991302490234375
-19.38629150390625,23.4649658203125,-28.73992919921875,2014-08-08 06:47:59 +0200,0.0674285888671875,9.599273681640625,0.9966888427734375
-20.660400390625,28.13262939453125,-29.51202392578125,2014-08-08 06:48:00 +0200,-0.0725860595703125,9.581405639648438,0.9224395751953125
-22.6715087890625,18.27392578125,-24.84893798828125,2014-08-08 06:48:01 +0200,-0.1456298828125,9.586044311523438,0.47589111328125
-26.45416259765625,25.80718994140625,-22.9278564453125,2014-08-08 06:48:02 +0200,-0.3137969970703125,9.61016845703125,0.1563568115234375
-26.68914794921875,22.88665771484375,-21.18377685546875,2014-08-08 06:48:03 +0200,-0.1856689453125,9.557968139648438,0.40374755859375
-27.05535888671875,18.49212646484375,-16.583251953125,2014-08-08 06:48:04 +0200,-0.0979461669921875,9.602432250976562,0.3877105712890625
-21.7071533203125,20.20263671875,-22.74322509765625,2014-08-08 06:48:05 +0200,-0.2376708984375,9.761276245117188,0.3602447509765625
-23.43597412109375,20.71380615234375,-23.486328125,2014-08-08 06:48:06 +0200,-0.081756591796875,9.549789428710938,0.4762725830078125
-23.9898681640625,16.85943603515625,-24.2095947265625,2014-08-08 06:48:07 +0200,0.04510498046875,9.62017822265625,0.4799957275390625
-22.33428955078125,28.741455078125,-31.50787353515625,2014-08-08 06:48:08 +0200,0.3740081787109375,9.53924560546875,0.3233795166015625
-27.8961181640625,26.5472412109375,-41.80755615234375,2014-08-08 06:48:09 +0200,0.1402130126953125,9.591751098632812,0.43267822265625
-28.93829345703125,25.52490234375,-43.85986328125,2014-08-08 06:48:10 +0200,0.0601959228515625,9.622085571289062,0.10186767578125
-30.45196533203125,28.44390869140625,-39.569091796875,2014-08-08 06:48:11 +0200,0.5081634521484375,9.772354125976562,0.6629791259765625
-26.07879638671875,20.8892822265625,-28.924560546875,2014-08-08 06:48:12 +0200,0.50982666015625,9.6160888671875,0.6796112060546875
-22.38006591796875,18.48602294921875,-27.20794677734375,2014-08-08 06:48:13 +0200,0.391571044921875,10.064727783203125,0.7070465087890625
-18.511962890625,17.28363037109375,-20.855712890625,2014-08-08 06:48:14 +0200,0.4925384521484375,9.723892211914062,0.6448516845703125
-22.38006591796875,16.082763671875,-18.280029296875,2014-08-08 06:48:15 +0200,0.99737548828125,9.306243896484375,0.39947509765625
-20.86639404296875,12.47711181640625,-8.49456787109375,2014-08-08 06:48:16 +0200,0.62945556640625,9.553863525390625,0.546600341796875
-19.85626220703125,12.56561279296875,-8.12225341796875,2014-08-08 06:48:17 +0200,0.3751220703125,9.6494140625,0.7043914794921875
-21.36077880859375,16.009521484375,-8.837890625,2014-08-08 06:48:18 +0200,0.125274658203125,9.569549560546875,0.741851806640625
-24.67041015625,13.958740234375,-7.95745849609375,2014-08-08 06:48:19 +0200,0.520233154296875,9.581451416015625,0.5927886962890625
-25.09918212890625,9.21478271484375,-4.0771484375,2014-08-08 06:48:20 +0200,0.3821563720703125,9.557952880859375,0.7157135009765625
-23.614501953125,9.04388427734375,-2.90069580078125,2014-08-08 06:48:21 +0200,0.34814453125,9.631057739257812,0.638336181640625
-27.22930908203125,11.32354736328125,-7.7850341796875,2014-08-08 06:48:22 +0200,0.165802001953125,9.479843139648438,0.7804412841796875
-33.795166015625,4.04052734375,-10.7086181640625,2014-08-08 06:48:23 +0200,0.4823150634765625,9.540451049804688,0.5681610107421875
-22.7752685546875,9.08966064453125,-4.4219970703125,2014-08-08 06:48:24 +0200,0.4031829833984375,9.500320434570312,0.68963623046875
-26.9195556640625,11.70196533203125,-12.4481201171875,2014-08-08 06:48:25 +0200,0.316741943359375,9.564682006835938,0.6885528564453125
-24.86724853515625,7.67822265625,-8.67919921875,2014-08-08 06:48:26 +0200,0.4864959716796875,9.610763549804688,0.5857696533203125
-28.485107421875,10.63995361328125,-19.30999755859375,2014-08-08 06:48:27 +0200,0.408599853515625,9.575164794921875,0.63421630859375
-39.96734619140625,8.05206298828125,-9.9853515625,2014-08-08 06:48:28 +0200,0.196624755859375,9.722381591796875,0.671539306640625
-19.59228515625,14.86968994140625,-19.879150390625,2014-08-08 06:48:29 +0200,0.085662841796875,9.570587158203125,0.7371826171875
-27.76031494140625,16.082763671875,-23.42987060546875,2014-08-08 06:48:30 +0200,0.348419189453125,9.440933227539062,0.5908660888671875
-22.88360595703125,11.10382080078125,-24.9755859375,2014-08-08 06:48:31 +0200,0.2005767822265625,9.746109008789062,0.6263885498046875
-30.95550537109375,12.8204345703125,-55.53436279296875,2014-08-08 06:48:32 +0200,0.2756195068359375,9.643798828125,0.5681915283203125
-21.20208740234375,12.47711181640625,-9.5245361328125,2014-08-08 06:48:33 +0200,0.077178955078125,9.66595458984375,0.73681640625
-20.1934814453125,10.7666015625,-20.15228271484375,2014-08-08 06:48:35 +0200,0.1011199951171875,9.5704345703125,0.726806640625
-12.23907470703125,14.73846435546875,-16.53289794921875,2014-08-08 06:48:36 +0200,0.2976531982421875,9.638259887695312,0.6679840087890625
-33.5723876953125,14.64080810546875,-21.78192138671875,2014-08-08 06:48:37 +0200,0.6526947021484375,9.551742553710938,0.5982666015625
-23.47869873046875,9.588623046875,-18.06488037109375,2014-08-08 06:48:39 +0200,0.441192626953125,9.7913818359375,0.6185302734375
-23.47869873046875,9.588623046875,-18.06488037109375,2014-08-08 06:48:41 +0200,0.441192626953125,9.7913818359375,0.6185302734375
-23.47869873046875,9.588623046875,-18.06488037109375,2014-08-08 06:48:43 +0200,0.441192626953125,9.7913818359375,0.6185302734375
